,PC1,PC2
Q1#1_1,0.838092677642668,0.07705688909591611
Q1#1_2,0.9466397829318561,-0.0007053118172367238
Q1#1_3,-0.8194652528311765,0.039982564563694305
Q10#1_1,-0.18666298406561063,-0.5887345755406308
Q10#1_2,-0.6972793386840447,0.42188228736617733
Q10#1_3,0.7621164981053118,0.06164181372295292
Q10#1_4,0.233623144160409,-0.1747831906007706
Q11#1_1,-0.33594036671058214,-0.3973641947479025
Q11#1_2,-0.76824918381207,0.2720145371281707
Q11#1_3,0.9511383132652599,0.053100842536822956
Q11#1_4,0.15157763791924023,-0.30816087247267354
Q12_1,-0.6263354171821459,-0.5003564099507619
Q12_2,-0.8425961153811694,-0.12287212534191498
Q12_3,0.7131018782708788,-0.31372718243180386
Q13_1,-0.5688386812063261,-0.40190343602436834
Q13_2,-0.7872966298649691,-0.28851173764531207
Q13_3,0.5291082363912498,-0.23784664191050942
Q14_1,-0.6003703291333082,-0.4374677948510916
Q14_2,-0.7451199093588042,-0.2309511808765287
Q14_3,0.6745894189886306,-0.2028090255525279
Q15_1,-0.6561986305996856,-0.456457389097988
Q15_2,-0.8090302060782004,-0.10190291974834449
Q15_3,0.7504463772558365,-0.14890800496831547
Q16_1,0.024191782628610336,-0.8070216973029284
Q16_2,-0.5954513649371578,-0.12236603862359895
Q16_3,0.6268055828704961,-0.36348777011321226
Q17_1,0.006864797780809702,-0.6490089553801198
Q17_2,-0.4719100187762,-0.15684119492760965
Q17_3,0.39499913843559986,-0.2671519134157987
Q18_1,-0.1365625796077839,-0.5920157877549134
Q18_2,-0.5998586256319653,-0.10885268519943198
Q18_3,0.3253231248310488,-0.1270022275667009
Q2#1_1,0.7792509554396948,0.1404163251592077
Q2#1_2,0.9528811135392451,0.030110868157977255
Q2#1_3,-0.9055548874028747,0.16560825544823907
Q3#1_1,-0.46559338519125604,-0.34314745693317755
Q3#1_2,-0.832055723176497,-0.009360132688902404
Q3#1_3,0.6434922319350938,-0.018966773019732628
Q4#1_1,-0.9518225881038136,-0.01875555490387
Q4#1_2,-0.9605959067527351,-0.013512551043577395
Q4#1_3,0.8993727899566978,0.06358938763801167
Q5#1_1,-0.6185969714089409,-0.3236096100219362
Q5#1_2,-0.8122779391920009,0.2026903612177699
Q5#1_3,0.9549331930489554,0.0019289099860618146
Q6#1_1,-0.4783142152038872,0.12115626043693296
Q6#1_2,-0.6682702287727479,0.291778214408687
Q6#1_3,0.6401827111992567,-0.04028111191983427
Q7#1_1,-0.2306389192502199,-0.3968128562037387
Q7#1_2,-0.6060482214083418,0.5626480020014974
Q7#1_3,0.5963088416011613,-0.11159728940928225
Q7#1_4,0.17925255757374686,-0.28177537589400914
Q8#1_1,-0.35674591968646174,-0.6337777668393932
Q8#1_2,-0.742757906094444,0.46133684088637544
Q8#1_3,0.8801152211544042,0.10987999495085889
Q8#1_4,0.2005928658357963,-0.12028115975043463
Q9#1_1,-0.07627928365489413,-0.09276355102992725
Q9#1_2,-0.45917575839931485,0.5797821066060993
Q9#1_3,0.20621619313076417,-0.1669993808026118
Q9#1_4,0.22573475965809928,-0.3352751617370971
Age_19,-0.015458095697386695,-0.02537466571178574
Age_20,-0.016239239894151495,0.09201493507593467
Age_21,0.026068255557388353,-0.0070746910558350555
Age_22,-0.044279765187087004,-0.027604293625712067
Age_23,-0.07249065692209322,-0.03544160260199141
Age_25,-0.06004132011186423,0.020504301448147914
Age_26,-0.012007099733901207,0.006824205713094658
Age_27,0.04144365739015227,0.05793440897100792
Age_28,0.03623799294335836,-0.042856892611956056
Age_29,0.021528838862534396,-0.0021889254593289082
Age_30,0.014664797513193988,-0.000682157933425541
Age_31,0.02547483966044756,0.008211177293341655
Age_32,0.062683032198331,-0.055727588491855024
Age_51,0.023044978272461804,-0.0028974123293863106
Age_57,-0.03063021485138404,0.014359201319749344
Education_College,-0.04992099971578509,-0.035638769905728306
Education_Doctorate,-0.015872800563706654,-0.00315103010651258
Education_High school,0.03760898436927514,0.021090811777841834
Education_Masters,0.07066141330151027,-0.01144505750165181
Education_Other:,-0.027018501693907036,0.05451871144783668
Education_Professional training,-0.015458095697386695,-0.02537466571178574
Gender_Female,-0.03754475075443999,-0.06415505779627535
Gender_Male,0.02223303729195166,0.07272600253601515
Gender_Other,0.015311713462488379,-0.008570944739739817
Q16_5_1_0,0.011529008423770025,0.0789653972220646
Q16_5_1_1,0.027544839726837373,0.08360123633192432
Q16_5_1_2,-0.031183981693915206,0.12397020396261375
Q16_5_1_3,0.07430734797915126,0.027571390900112357
Q16_5_1_4,-0.05953953753042534,-0.008493649265168636
Q16_5_1_5,0.017851328876903466,-0.08389867149771155
Q16_5_1_6,-0.04050900578232164,-0.22171590765383514
Q16_5_2_0,0.051507143225661516,0.016899573445362786
Q16_5_2_1,0.05396793169738957,0.03408591950778998
Q16_5_2_2,0.01934369371666393,-0.0076343162119627914
Q16_5_2_3,0.11356546842657624,-0.04306253415236204
Q16_5_2_4,0.09153932005584442,0.024818779982845995
Q16_5_2_5,-0.04914822975582302,-0.008878851270574218
Q16_5_2_6,-0.28077532736631294,-0.016228571301099726
Q16_5_3_1,-0.06705166402031269,0.014933956747462986
Q16_5_3_2,-0.087256609588558,0.06685962762529188
Q16_5_3_3,-0.16841310622119526,-0.053340278700840085
Q16_5_3_4,-0.02750244352253127,7.511408054444404e-05
Q16_5_3_5,-0.0007691544930204993,0.0019407122819131868
Q16_5_3_6,0.35099297784561767,-0.03046913203437247
lang_profile_l1_eng,0.47337162169343633,0.01484735095869322
lang_profile_l3_eng,-0.47337162169343633,-0.01484735095869322
