pc1,pc2,partID
4.9324135813698655,-1.5956122973509013,eir057
5.450197048775659,-0.13604800280042328,dis022
3.361366884382204,-2.3258859572433406,irm067
6.1650439388886475,2.9911835511439766,afs116
3.892734422087786,-2.7268145203117564,nir048
-2.5142055322180346,-3.8533627737632985,ala059
1.5568666708087515,0.403033134076766,anm149
5.4717685172168675,-1.0747626965337458,ama302
6.934260345949492,4.09473876402278,vrc053
-3.7183444620174098,-3.3229501052641384,als086
-7.496278821928531,2.840881906915788,nlc102
-6.7045667192842515,3.579550488889268,eum191
5.320338552142507,-0.5967981267259689,orx026
-4.384488024214015,-0.10477604568734133,arc053
-0.05486364978261906,-2.1703009162414224,arl041
-6.873663262294687,2.552005044002522,ldm015
4.920638395836401,-1.0342179678999555,irs023
-7.712637883394178,7.140590152356428,ala054
-6.094123641930368,0.8278222155165195,aes050
-0.7570101950591521,3.4535051505670182,era049
-3.845810047538216,-0.13383434061653032,rrr070
-7.6698504461670485,1.5806970368776105,srm056
-4.6982062141367,3.409552863213947,rre101
5.595493204618044,-0.7884938377436606,lnm175
-4.591303916406846,-3.3652944630503807,arr030
-3.2685633391357904,-3.3863506421817453,enp048
3.5240952236920444,-0.51524621403081,asp259
5.379062679645154,0.5134924576725792,lic063
-5.560950612484583,-3.1509565735981013,lrv099
8.466808604978791,4.466165051105459,auj020
3.2268581979219815,-1.7929237143897416,asl181
-5.213138220340936,-0.5397006240670239,lrs017
3.1413770065755813,-0.18941397813978367,hya248
5.231429786001432,0.13663750688430365,anf025
-4.037812671364068,-4.166713569751294,irx018
8.32039784632548,4.558126373270108,lld031
-3.8242656107826507,0.7604846332303103,arn090
2.538149818596855,-2.341167948540112,nde013
4.930392874791377,-0.787288204850397,ake031
3.7642109833802633,-1.2401008910090194,acj297
-4.0012901427916026,-2.2213329080347033,elc149
-4.139981271833763,-3.766948399288035,irm109
-4.1332539027118536,1.4636854614500017,alc125
-4.449989207566518,-0.47116982191397966,aps124
3.2760005768400657,-1.6933107434460264,als024
4.275526926210081,0.5130526930164312,nie059
-6.8966799355352535,2.2151969843269907,usm074
-4.302326744326879,-0.0775427669154291,irb111
4.173198239823081,2.5764645690199823,aei079
3.094974148387531,-0.5075469861697175,acr108
