"Language","lang_profile","syllable","stress","mean_vdur","sd_vdur","mean_syldur","sd_syldur","mean_f1","sd_f1","mean_f2","sd_f2","mean_f0","sd_f0"
"cat","l1_eng","pen",0,-1.66839237488876,2.14269089892451,-0.432331961697823,0.812374487869035,-0.1671619547655,0.0751666102105904,0.50485287138049,0.37777233482439,0.200913242470901,0.940132369087086
"cat","l1_eng","pen",1,-0.77709059807657,2.55671296284266,-0.326172218334576,0.925267790509653,-0.18240563680364,0.0656256723238606,0.569064405353104,0.414873896259387,0.605575837302506,0.991302117660928
"cat","l1_eng","ult",0,1.93166176077998,2.06027205515854,-0.672439676436494,1.51760944498492,0.000814178787783881,0.14245711607941,0.0542079676083999,0.232398640406176,0.909730265392499,1.84960713742755
"cat","l1_eng","ult",1,2.66376565695431,1.9003286006879,0.399758663704425,1.48063690675266,0.100306227667116,0.158535099530232,0.0248017032130055,0.182256647151021,-0.104831873979989,1.60110374013549
"cat","l3_eng","pen",0,-2.34094396199296,0.691743841193555,0.0310995183012009,0.434266849358585,-0.191546080623903,0.101458857700336,0.478178086715511,0.424393943107544,-0.0825972374027879,0.909461169224681
"cat","l3_eng","pen",1,-1.79418923106602,1.59093468930117,0.0233784892092806,0.757170615420892,-0.201177071783999,0.0820981835822877,0.498540433237637,0.486469846164499,0.126550050225773,0.817448956619746
"cat","l3_eng","ult",0,1.05606903731091,2.15163883804884,-1.35826240419877,1.40155010194484,-0.0177535245635318,0.150964131865028,0.0887371269334053,0.249885564870577,-0.261302829591653,1.31085312332346
"cat","l3_eng","ult",1,2.16137943288116,2.30537318008252,-0.524049843912874,1.548156262699,0.0659551325478313,0.162256608801608,0.0820438179124065,0.189239551827995,-0.968208059849128,1.10813701363814
"eng","l1_eng","pen",0,-2.80846858708752,1.46211832889416,0.0321983080128802,0.710529436773499,-0.0898552867083334,0.107442517947612,0.0639876919302448,0.319760826384486,-0.0598630063843957,1.66171501298829
"eng","l1_eng","pen",1,-0.299176591973661,2.37871883477047,0.549483023934541,1.03421888922364,0.0408208216803738,0.143049914814519,0.00532877331706764,0.321709756447503,-0.563426525473626,1.67191221660994
"eng","l1_eng","ult",0,-0.267613482719772,2.44832696761432,0.425450928415619,1.03762904128957,-0.0105317285566116,0.118577926995784,0.149754198581215,0.279576866714129,-1.21189565994576,1.54485296688764
"eng","l1_eng","ult",1,0.314328540987732,2.31164482662561,0.580163963537821,1.17235488602214,0.0191162903779381,0.11332996571127,0.0798151455363268,0.323107675155382,-0.848781152304208,1.54381715748827
"eng","l3_eng","pen",0,-1.65775391688981,1.79741256969365,0.583624353215372,0.748259349903529,-0.107663049983441,0.110651808509607,0.07353945831578,0.404337683480599,0.880272713702081,1.92191128586075
"eng","l3_eng","pen",1,1.23238978850633,2.85286194299273,0.889994367571774,1.15651653906012,-0.00196884215587647,0.148173362356283,0.00975062512247816,0.42716415591542,0.375565696049864,1.98119078483619
"eng","l3_eng","ult",0,0.485365065973323,3.02442285948004,0.869373399352551,1.06368408824033,-0.0546426231019556,0.114070047243345,0.195694486958042,0.348081654520557,-0.2597712800592,2.97543304454016
"eng","l3_eng","ult",1,2.18586532544492,2.79255024459076,1.06286163964725,1.20131224229249,-0.0162174831771934,0.118213126052553,0.154098266635611,0.405301022896419,-0.000939986741431905,1.94054437804103
"eng","mono","pen",0,-2.35704977449581,1.67827388953053,-0.186357802787582,0.63970793306431,-0.104215659591668,0.0998537521589158,0.0574605164297911,0.329248018591337,0.68254388445353,1.39366523307027
"eng","mono","pen",1,0.52407354126565,2.616987097151,0.0333656359941698,1.14239108278671,0.0448917191260666,0.157454722697941,-0.00516258805666915,0.363144035989247,0.132727189208737,1.53896031945708
"eng","mono","ult",0,0.510555303796732,2.68392507540531,0.0673087448798721,1.07229978008569,-0.00334394224876519,0.131643805591243,0.148566446688533,0.311503853043434,-0.66965959040443,1.64776640944715
"eng","mono","ult",1,1.2151339547401,2.52168056339772,0.0752438813916945,1.16559449245148,0.018134524951675,0.131075065769625,0.0868623761320643,0.356582708780278,-0.0899336880619792,1.34256440564402
"spa","l1_eng","pen",0,-1.3188254862232,2.23672417255935,-0.552655081000168,0.898833078993633,-0.193682258157697,0.0690834513276694,0.465451933952485,0.408683784941092,0.076045314524561,0.983182425057764
"spa","l1_eng","pen",1,-0.381766550321911,2.62628541231035,-0.473375749637126,0.950063720552436,-0.201604265813706,0.0630925149085201,0.482108805300368,0.484880511852311,0.780048093413784,0.976257165737105
"spa","l1_eng","ult",0,1.91625724656581,2.04564140952608,-0.810083067057369,1.25840659533003,-0.106238325946681,0.110629387545987,-0.253475061436162,0.297482812964658,1.46656531509176,1.59816727372964
"spa","l1_eng","ult",1,2.53073080005858,1.55140406254504,-0.0192564290830685,1.28210778554373,-0.0743232522528396,0.108633729656197,-0.323340983811715,0.248533809512953,0.946350845689068,1.31488048050348
"spa","l3_eng","pen",0,-2.12584152748405,1.05522127961693,-0.00700380457426886,0.488657880452434,-0.202352111107399,0.0739307446437713,0.441938875702129,0.422138448238502,-0.187726431081444,0.871697860656821
"spa","l3_eng","pen",1,-1.68116054736304,1.65740070038522,0.0565603252066185,0.720041673828584,-0.201993769438613,0.0674760349590679,0.501430274999097,0.401420465463525,0.227622482888408,0.941922794146547
"spa","l3_eng","ult",0,0.885823521467675,2.06130060497332,-1.31151093115534,1.33403135956772,-0.105377497709517,0.103939980926034,-0.0807700111920995,0.291229797885667,0.280858096775679,1.71009713688346
"spa","l3_eng","ult",1,1.18577753323875,2.3764701743816,-0.889358254653498,1.33255672134112,-0.078841966479429,0.113801118296372,-0.14103983699987,0.284032694920131,-0.169660220811733,1.16571115177505
